OBJECT_NAME,FIELD_NAME,OBJECT_LABEL,FIELD_LABEL,FIELD_TYPE,FIELD_LENGTH,CREATEABLE,CALCULATED,PICKLIST,REFERENCE
"McLabs2__Escrow__c","McLabs2__Total_Hours_Estimate__c","Project","Total Hours Estimate","double","0","true","false","",""
"McLabs2__Escrow__c","McLabs2__Probability__c","Project","Probability","percent","0","true","false","",""
"McLabs2__Escrow__c","McLabs2__Total_Hours_Budget__c","Project","Total Hours Budget","double","0","true","false","",""
"McLabs2__Escrow__c","McLabs2__Proposal__c","Project","Pitch","reference","18","true","false","","McLabs2__Proposal__c"
"McLabs2__Escrow__c","McLabs2__Contract_Price__c","Project","Contract Price","currency","0","true","false","",""
"McLabs2__Escrow__c","McLabs2__Escrow__c","Project","Commission Amount","currency","0","true","false","",""
"McLabs2__Escrow__c","McLabs2__Tenant__c","Project","Tenant Contact","reference","18","true","false","","Contact"
"McLabs2__Escrow__c","McLabs2__Landlord__c","Project","Landlord Contact","reference","18","true","false","","Contact"
"McLabs2__Escrow__c","McLabs2__Lessee__c","Project","Dead","reference","18","true","false","","Contact"
"McLabs2__Escrow__c","McLabs2__Space__c","Project","Space","reference","18","true","false","","McLabs2__Spaces__c"
"McLabs2__Escrow__c","McLabs2__Buyer_Company__c","Project","Buyer Company","reference","18","true","false","","Account"
"McLabs2__Escrow__c","McLabs2__Buyer__c","Project","Buyer Contact","reference","18","true","false","","Contact"
"McLabs2__Escrow__c","McLabs2__Landlord_Company__c","Project","Landlord Company","reference","18","true","false","","Account"
"McLabs2__Escrow__c","McLabs2__Seller_Company__c","Project","Seller Company","reference","18","true","false","","Account"
"McLabs2__Escrow__c","McLabs2__Seller__c","Project","Seller Contact","reference","18","true","false","","Contact"
"McLabs2__Escrow__c","McLabs2__External_ID__c","Project","External ID","string","100","true","false","",""
"McLabs2__Escrow__c","McLabs2__Tenant_Company__c","Project","Tenant Company","reference","18","true","false","","Account"
"McLabs2__Escrow__c","McLabs2__Imported_Date__c","Project","Imported Date","date","0","true","false","",""
"McLabs2__Escrow__c","McLabs2__Import_Batch_ID__c","Project","Import Batch ID","string","18","true","false","",""
"McLabs2__Buyer_Need2_del__c","Id","Buyer's Need","Record ID","id","18","false","false","",""
"McLabs2__Buyer_Need2_del__c","IsDeleted","Buyer's Need","Deleted","boolean","0","false","false","",""
"McLabs2__Buyer_Need2_del__c","RecordTypeId","Buyer's Need","Record Type ID","reference","18","true","false","","RecordType"
"McLabs2__Buyer_Need2_del__c","CreatedById","Buyer's Need","Created By ID","reference","18","false","false","","User"
"McLabs2__Buyer_Need2_del__c","LastModifiedDate","Buyer's Need","Last Modified Date","datetime","0","false","false","",""
"McLabs2__Buyer_Need2_del__c","LastViewedDate","Buyer's Need","Last Viewed Date","datetime","0","false","false","",""
"McLabs2__Buyer_Need2_del__c","LastModifiedById","Buyer's Need","Last Modified By ID","reference","18","false","false","","User"
"McLabs2__Buyer_Need2_del__c","SystemModstamp","Buyer's Need","System Modstamp","datetime","0","false","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Contact__c","Buyer's Need","Contact","reference","18","true","false","","Contact"
"McLabs2__Buyer_Need2_del__c","LastReferencedDate","Buyer's Need","Last Referenced Date","datetime","0","false","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Acquisition_Type__c","Buyer's Need","Acquisition Type","multipicklist","4099","true","false","Core/Stabilized|Distressed|Single-Tenant, Net-Leased|Value Add",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Active__c","Buyer's Need","Active","boolean","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Additional_Criteria__c","Buyer's Need","Additional Criteria","textarea","255","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Buyer_Quality__c","Buyer's Need","Buyer Quality","picklist","255","true","false","1 Will buy within 6 months|2 Might buy within 6 months|3 Will not buy within 6 months",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Debt__c","Buyer's Need","Debt","currency","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Equity__c","Buyer's Need","Equity","currency","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Exchange_Period_Expiration__c","Buyer's Need","Exchange Period Expiration","date","0","false","true","",""
"McLabs2__Buyer_Need2_del__c","Name","Buyer's Need","Buyer Need Name","string","80","true","false","",""
"McLabs2__Buyer_Need2_del__c","CreatedDate","Buyer's Need","Created Date","datetime","0","false","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Exchange_Begin_Date__c","Buyer's Need","Exchange Begin Date","date","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Identification_Period_Expires__c","Buyer's Need","Identification Period Expiration","date","0","false","true","",""
